Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,80.546679316888
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,0
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.730443175298289
Bulgaria,BGR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.49316668312559
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,65.1800571112749
Bulgaria,BGR,Net migration,SM.POP.NETM,-24001
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.89075088175118
Burkina Faso,BFA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.93140018409549
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,70.150716374269
Burkina Faso,BFA,Net migration,SM.POP.NETM,-125000
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.18120007897113
Burundi,BDI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,421.61253894081
Burundi,BDI,Net migration,SM.POP.NETM,10003
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,1.19012595595116
Cabo Verde,CPV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.47759460588624
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,133.374441687345
Cabo Verde,CPV,Net migration,SM.POP.NETM,-6709
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.53027452708458
Cambodia,KHM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.03653374714765
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,90.6946125084976
Cambodia,KHM,Net migration,SM.POP.NETM,-149999
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.63775433447287
Cameroon,CMR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,11.6211888962897
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,51.96858539062
Cameroon,CMR,Net migration,SM.POP.NETM,-24000
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.19968215419992
Canada,CAN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.07617290105838
Canada,CAN,Net migration,SM.POP.NETM,1210159
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,1.29898766487121
Cayman Islands,CYM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,264.091666666667
Cayman Islands,CYM,Net migration,SM.POP.NETM,..
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1.2774834969372
Central African Republic,CAF,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,7.37748081800379
Central African Republic,CAF,Net migration,SM.POP.NETM,-200000
Chad,TCD,Population growth (annual %),SP.POP.GROW,3.07750673636919
Chad,TCD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Chad,TCD,Population density (people per sq. km of land area),EN.POP.DNST,11.9256361181703
Chad,TCD,Net migration,SM.POP.NETM,10000
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1.03937906031209
Channel Islands,CHI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Channel Islands,CHI,Population density (people per sq. km of land area),EN.POP.DNST,851.848484848485
Channel Islands,CHI,Net migration,SM.POP.NETM,6754
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.42514142087535
Chile,CHL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.1193301356848
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,24.8414795866217
Chile,CHL,Net migration,SM.POP.NETM,558539
China,CHN,Population growth (annual %),SP.POP.GROW,0.559121331017265
China,CHN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,147.102282546731
China,CHN,Net migration,SM.POP.NETM,-1741996
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.51374743470421
Colombia,COL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.81412741556168
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,44.0827796304642
Colombia,COL,Net migration,SM.POP.NETM,1023981
Comoros,COM,Population growth (annual %),SP.POP.GROW,2.27324455021872
Comoros,COM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.7569470634362
Comoros,COM,Population density (people per sq. km of land area),EN.POP.DNST,437.340139709833
Comoros,COM,Net migration,SM.POP.NETM,-10000
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.25850577170009
"Congo, Dem. Rep.",COD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,0.520567173320126
